"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что текст раскрывшегося элемента аккордеона соответствует своему вопросу","2226","Соответствие текста ответа четвертому вопросу FAQ","tests","2026-06-21","passed","2026-06-21","TestQuestions","test_questions","",""
"Проверка, что текст раскрывшегося элемента аккордеона соответствует своему вопросу","2045","Соответствие текста ответа второму вопросу FAQ","tests","2026-06-21","passed","2026-06-21","TestQuestions","test_questions","",""
"Оформление заказа по нажатию на кнопку Заказать в шапке или на главной странице","3725","Проверка позитивного сценария оформления заказа","tests","2026-06-21","passed","2026-06-21","TestOrder","test_order","",""
"Проверка, что текст раскрывшегося элемента аккордеона соответствует своему вопросу","1906","Соответствие текста ответа восьмому вопросу FAQ","tests","2026-06-21","passed","2026-06-21","TestQuestions","test_questions","",""
"Проверка, что текст раскрывшегося элемента аккордеона соответствует своему вопросу","2265","Соответствие текста ответа третьему вопросу FAQ","tests","2026-06-21","passed","2026-06-21","TestQuestions","test_questions","",""
"Главная https://qa-scooter.education-services.ru/ открывается в этой же вкладке послек клика на логотип Самокат","997","Переход на главную Яндекс Самокат по клику на логотип Самокат","tests","2026-06-21","passed","2026-06-21","TestLogo","test_logo","",""
"Проверка, что текст раскрывшегося элемента аккордеона соответствует своему вопросу","1859","Соответствие текста ответа пятому вопросу FAQ","tests","2026-06-21","passed","2026-06-21","TestQuestions","test_questions","",""
"ya.ru открывается в новой вкладке после клика на логотип Яндекс","2490","Переход на ya.ru после клика на логотип Яндекс","tests","2026-06-21","passed","2026-06-21","TestLogo","test_logo","",""
"Проверка, что текст раскрывшегося элемента аккордеона соответствует своему вопросу","2191","Соответствие текста ответа седьмому вопросу FAQ","tests","2026-06-21","passed","2026-06-21","TestQuestions","test_questions","",""
"Проверка, что текст раскрывшегося элемента аккордеона соответствует своему вопросу","2413","Соответствие текста ответа первому вопросу FAQ","tests","2026-06-21","passed","2026-06-21","TestQuestions","test_questions","",""
"Проверка, что текст раскрывшегося элемента аккордеона соответствует своему вопросу","1982","Соответствие текста ответа шестому вопросу FAQ","tests","2026-06-21","passed","2026-06-21","TestQuestions","test_questions","",""
"Оформление заказа по нажатию на кнопку Заказать в шапке или на главной странице","3643","Проверка позитивного сценария оформления заказа","tests","2026-06-21","passed","2026-06-21","TestOrder","test_order","",""
